交易时间,买卖方向,开平仓,交易价格,交易数量
2019-01-19 00:00:00,空,开,119.5,1.0
2019-01-19 16:00:00,多,平,124.41,1.0
2019-01-19 16:00:00,多,开,124.41,1.0
2019-01-20 16:00:00,空,平,119.6,1.0
2019-01-20 20:00:00,空,开,116.91,1.0
2019-02-09 00:00:00,多,平,118.63,1.0
2019-02-18 04:00:00,多,开,132.0,1.0
2019-03-04 08:00:00,空,平,128.12,1.0
2019-03-30 04:00:00,多,开,142.8,1.0
2019-04-26 04:00:00,空,平,152.21,1.0
2019-05-11 16:00:00,多,开,189.18,1.0
2019-06-09 20:00:00,空,平,236.64,1.0
2019-06-21 12:00:00,多,开,287.57,1.0
2019-07-02 12:00:00,空,平,276.75,1.0
2019-07-14 16:00:00,空,开,242.55,1.0
2019-09-14 20:00:00,多,平,185.43,1.0
2019-09-17 20:00:00,多,开,201.72,1.0
2019-09-24 16:00:00,空,平,197.46,1.0
2019-11-21 20:00:00,空,开,160.74,1.0
